SERVER_ID,AVG_CPU,AVG_MEMORY,AVG_DISK_IO,AVG_NETWORK_IO
GOO-1095,50.74,61.71,25.36,50.87
AZU-1015,41.3,42.14,31.38,47.66
EC2-1030,52.09,60.65,28.76,48.27
AZU-1128,30.32,46.43,32.71,50.77
S3-1115,23.86,54.2,29.98,59.9
S3-1170,42.21,71.98,27.8,50.37
GOO-1174,30.89,47.26,26.29,48.84
S3-1045,29.97,54.6,24.91,48.87
RDS-1066,35.35,41.08,30.12,35.24
RDS-1165,43.25,58.94,28.74,39.08
RDS-1177,49.06,43.91,30.78,37.08
RDS-1152,38.65,47.48,25.29,39.24
GOO-1124,63.68,44.73,18.7,53.49
AZU-1148,42.89,40.3,17,59.4
S3-1093,37.57,41.98,17.93,42.88
S3-1125,50.6,33.1,22.24,38.88
RDS-1009,49.85,65.38,28.88,42.21
EC2-1075,52.5,66.27,32.93,54.42
RDS-1150,49.31,55.87,18.87,46.89
RDS-1182,62.16,20.38,21.41,51.98
S3-1186,71.6,41.24,21.57,49.46
EC2-1068,36.39,50.13,23.88,38.84
EC2-1016,49.07,42.26,31.82,58.45
AZU-1060,49.36,45.73,29.38,62.63
RDS-1055,38.37,68.72,26.3,59.47
GOO-1104,26.03,45.45,25.4,62.38
RDS-1084,39.05,50.92,30.31,44.98
AZU-1137,42.98,58.24,22.03,54.69
RDS-1079,32.56,59.32,20.76,44.05
RDS-1038,57.85,49.66,24.63,50.23
EC2-1122,25.55,54.83,28.76,39.03
AZU-1019,28.9,49.2,22.61,34.77
AZU-1143,43.45,44.44,28.91,46.18
AZU-1086,51.65,49.33,14.04,51.51
S3-1126,36.25,50.3,33.09,48.58
S3-1073,47.42,40.58,22.9,44.65
RDS-1096,44.34,39.97,28.08,34.88
GOO-1169,49.29,57.05,10.74,74.37
AZU-1097,52.14,45.01,13.73,80.31
S3-1031,33.2,54.82,23,68.95
AZU-1012,41.41,51.81,16.31,68.81
AZU-1035,54.57,47.28,21.21,63.9
GOO-1042,53.16,39.32,23.69,51.07
AZU-1189,45.56,55.59,24.73,61.79
S3-1162,50.53,34.59,26.63,75.62
EC2-1190,49.02,44.7,15.16,51.19
AZU-1101,47.92,58.25,26.54,60.67
RDS-1011,45.1,57.2,40.29,81.48
S3-1098,44.64,57.67,36.86,47.15
AZU-1100,43.91,34.99,21.5,45.67
RDS-1159,26.05,46.25,25.82,63.12
S3-1158,65.18,53.11,17.67,57.32
GOO-1069,48.22,55.06,20.48,71.96
AZU-1078,41.64,53.9,27.21,62.19
S3-1056,46.25,66.75,36.13,43.04
AZU-1067,60.57,47,31.51,60.07
EC2-1018,45.62,52.08,29.21,54.8
EC2-1082,28.08,42.64,19.21,47.84
GOO-1132,48.63,42.1,30.92,54.26
RDS-1135,48.06,55.89,25.31,50.17
S3-1076,42.62,36.59,17.9,72.76
AZU-1024,32.48,58.41,17.08,57.39
AZU-1195,43.74,51.04,19.5,69.8
RDS-1029,34.41,66.82,26.43,66.21
EC2-1114,46.97,39.45,30.47,56.67
AZU-1173,46.35,49.83,28.29,43.24
RDS-1005,52.13,49.17,23.8,32.03
AZU-1140,55.43,56.62,32.62,60.79
EC2-1172,33.73,24.77,27.66,42.67
AZU-1119,40.15,50.64,31.87,49.05
AZU-1127,34.17,44.98,30.09,45.22
EC2-1041,32.8,38.49,22.07,50.77
RDS-1118,49.44,58.72,27.05,31.3
EC2-1113,47.77,52.64,24.45,64.15
RDS-1026,36.2,46.76,33.97,47.64
RDS-1077,59.14,56.55,20.36,58.8
EC2-1046,30.55,45.73,27.43,35.82
EC2-1187,55.19,59.27,35.07,45
AZU-1191,52.76,59.86,19.91,60.63
AZU-1085,40.78,52.94,26.36,41.71
AZU-1061,38.23,58.12,31.44,62.15
GOO-1141,31.98,57.02,21.92,47.38
GOO-1194,39.86,71.41,34.19,23.31
EC2-1136,49.4,57.85,26.03,48.54
S3-1002,35.32,27.38,31.27,53.86
RDS-1036,53.85,68.86,33.07,50.6
GOO-1027,60.39,49.09,21.3,52.03
RDS-1120,56.38,59.61,23.3,53.96
EC2-1065,49.6,66.44,25.88,59.28
EC2-1164,38.19,63.11,23.68,58.74
EC2-1197,49.55,45.27,15.16,50.47
GOO-1090,50.34,63.4,20.54,46.16
GOO-1139,47.84,43.57,30.48,56.93
EC2-1111,25.61,56.75,22.78,55.15
AZU-1161,41.28,66,28.21,40.5
RDS-1022,47.87,45.22,23.1,48.09
S3-1033,48.54,43.41,28.82,29.23
S3-1006,33.59,54.43,19.55,54.8
S3-1051,41.23,48.01,22.28,50.2
AZU-1117,53.3,55.29,20.96,42.62
