FORECAST_DATE,SERVICE_TYPE,FORECASTED_COST,ACTUAL_COST,VARIANCE
2025-05-01,Azure SQL,1542,2119.70,577.70
2025-05-01,Azure VM,420,1744.09,1324.09
2025-05-01,EC2,448,1669.22,1221.22
2025-05-01,Google Compute Engine,910,1967.94,1057.94
2025-05-01,RDS,396,1291.51,895.51
2025-05-01,S3,321,1622.92,1301.92
2025-06-01,Azure SQL,1603,1491.42,-111.58
2025-06-01,Azure VM,621,1849.80,1228.80
2025-06-01,EC2,1217,1564.63,347.63
2025-06-01,Google Compute Engine,1570,1273.71,-296.29
2025-06-01,RDS,1386,1440.49,54.49
2025-06-01,S3,1320,2624.96,1304.96
