Month,Service_Type,Usage_Hours,Cost_USD,Growth_Rate
2025-01-01 00:00:00,EC2,2007,265.8,0.064
2025-01-01 00:00:00,S3,3725,798.05,-0.015
2025-01-01 00:00:00,RDS,2767,614.75,-0.044
2025-01-01 00:00:00,Azure VM,3815,1325.7,-0.025
2025-01-01 00:00:00,Azure SQL,3946,1877.8,-0.005
2025-01-01 00:00:00,Google Compute Engine,4129,532.88,-0.016
2025-02-01 00:00:00,EC2,3417,983.07,0.011
2025-02-01 00:00:00,S3,4532,707.85,-0.003
2025-02-01 00:00:00,RDS,1305,349.25,0.111
2025-02-01 00:00:00,Azure VM,2729,919.61,0.131
2025-02-01 00:00:00,Azure SQL,2120,506.42,0.024
2025-02-01 00:00:00,Google Compute Engine,2215,867.19,0.089
2025-03-01 00:00:00,EC2,1440,292.9,0.024
2025-03-01 00:00:00,S3,1799,203.92,0.085
2025-03-01 00:00:00,RDS,1694,123.93,0.034
2025-03-01 00:00:00,Azure VM,4830,293.71,0.055
2025-03-01 00:00:00,Azure SQL,1353,275.74,0.086
2025-03-01 00:00:00,Google Compute Engine,4687,1586.08,-0.045
2025-04-01 00:00:00,EC2,3073,563.24,0.142
2025-04-01 00:00:00,S3,2145,392.33,0.057
2025-04-01 00:00:00,RDS,1419,707.96,0.055
2025-04-01 00:00:00,Azure VM,1478,585.45,0.054
2025-04-01 00:00:00,Azure SQL,2089,577.31,0.032
2025-04-01 00:00:00,Google Compute Engine,1105,394.47,0.04
2025-05-01 00:00:00,EC2,3329,448.03,0.145
2025-05-01 00:00:00,S3,3101,321.38,-0.025
2025-05-01 00:00:00,RDS,3612,395.6,-0.047
2025-05-01 00:00:00,Azure VM,4782,420.14,-0.04
2025-05-01 00:00:00,Azure SQL,4095,1542.18,-0.05
2025-05-01 00:00:00,Google Compute Engine,4274,909.78,0.098
2025-06-01 00:00:00,EC2,3475,1217.23,0.124
2025-06-01 00:00:00,S3,4793,1320.31,0.051
2025-06-01 00:00:00,RDS,3827,1386.33,-0.019
2025-06-01 00:00:00,Azure VM,4514,620.89,0.091
2025-06-01 00:00:00,Azure SQL,3789,1602.66,0.031
2025-06-01 00:00:00,Google Compute Engine,3356,1569.8,0.091
2025-07-01 00:00:00,EC2,1625,523.73,-0.017
2025-07-01 00:00:00,S3,1590,496.31,0.061
2025-07-01 00:00:00,RDS,2930,689.62,0.102
2025-07-01 00:00:00,Azure VM,4826,1826.82,0.138
2025-07-01 00:00:00,Azure SQL,3737,983.5,-0.01
2025-07-01 00:00:00,Google Compute Engine,1649,89.78,0.022
2025-08-01 00:00:00,EC2,4717,1235.44,0.149
2025-08-01 00:00:00,S3,2564,997.92,0.089
2025-08-01 00:00:00,RDS,1392,222.15,0.137
2025-08-01 00:00:00,Azure VM,3571,316.03,-0.047
2025-08-01 00:00:00,Azure SQL,4865,933.72,-0.028
2025-08-01 00:00:00,Google Compute Engine,4355,523.75,-0.044
2025-09-01 00:00:00,EC2,4138,1620.4,0.044
2025-09-01 00:00:00,S3,3982,848.79,0.063
2025-09-01 00:00:00,RDS,1153,78.75,0.147
2025-09-01 00:00:00,Azure VM,2874,1172.76,0.068
2025-09-01 00:00:00,Azure SQL,1002,266.06,0.022
2025-09-01 00:00:00,Google Compute Engine,3957,1896.3,0.02
2025-10-01 00:00:00,EC2,4116,1829.24,0.15
2025-10-01 00:00:00,S3,2692,694.61,0.104
2025-10-01 00:00:00,RDS,2716,998.37,0.127
2025-10-01 00:00:00,Azure VM,1875,729.73,0.097
2025-10-01 00:00:00,Azure SQL,3715,1604.63,0.062
2025-10-01 00:00:00,Google Compute Engine,4125,1315.81,-0.049
2025-11-01 00:00:00,EC2,3531,977.78,0.012
2025-11-01 00:00:00,S3,2294,329.66,0.134
2025-11-01 00:00:00,RDS,4807,606.8,0.109
2025-11-01 00:00:00,Azure VM,1254,140.69,0.122
2025-11-01 00:00:00,Azure SQL,4202,1736.75,-0.046
2025-11-01 00:00:00,Google Compute Engine,1380,517.17,-0.004
2025-12-01 00:00:00,EC2,4464,1081.59,-0.02
2025-12-01 00:00:00,S3,3949,830.53,0.107
2025-12-01 00:00:00,RDS,1256,321.89,0.067
2025-12-01 00:00:00,Azure VM,2637,857.81,0.099
2025-12-01 00:00:00,Azure SQL,4206,1393.74,-0.038
2025-12-01 00:00:00,Google Compute Engine,4652,1145.92,-0.006
