License_ID,Software_Name,User_ID,Last_Access_Date,License_Cost_USD,Department
LIC-100,Adobe Creative Cloud,USR-1000,2025-06-15 00:00:00,25,IT
LIC-101,Jira,USR-1001,2025-07-29 00:00:00,10,IT
LIC-102,MS Office 365,USR-1002,2025-07-28 00:00:00,25,HR
LIC-103,Slack,USR-1003,2025-07-25 00:00:00,10,Sales
LIC-104,MS Office 365,USR-1004,2025-06-20 00:00:00,10,Marketing
LIC-105,Slack,USR-1005,2025-07-16 00:00:00,20,IT
LIC-106,Jira,USR-1006,2025-07-22 00:00:00,20,Marketing
LIC-107,Slack,USR-1007,2025-05-19 00:00:00,10,HR
LIC-108,Jira,USR-1008,2025-05-15 00:00:00,15,Marketing
LIC-109,Adobe Creative Cloud,USR-1009,2025-06-29 00:00:00,20,IT
LIC-110,MS Office 365,USR-1010,2025-06-16 00:00:00,15,HR
LIC-111,Adobe Creative Cloud,USR-1011,2025-06-29 00:00:00,25,Sales
LIC-112,Jira,USR-1012,2025-06-09 00:00:00,10,Sales
LIC-113,MS Office 365,USR-1013,2025-07-27 00:00:00,15,Marketing
LIC-114,MS Office 365,USR-1014,2025-06-22 00:00:00,10,Sales
LIC-115,Zoom,USR-1015,2025-05-18 00:00:00,20,HR
LIC-116,Zoom,USR-1016,2025-07-19 00:00:00,10,IT
LIC-117,Jira,USR-1017,2025-05-16 00:00:00,10,HR
LIC-118,Adobe Creative Cloud,USR-1018,2025-07-28 00:00:00,10,Sales
LIC-119,Slack,USR-1019,2025-07-02 00:00:00,20,IT
LIC-120,Slack,USR-1020,2025-07-02 00:00:00,25,Finance
LIC-121,Zoom,USR-1021,2025-06-06 00:00:00,25,Finance
LIC-122,MS Office 365,USR-1022,2025-07-02 00:00:00,20,HR
LIC-123,Jira,USR-1023,2025-07-14 00:00:00,15,IT
LIC-124,Jira,USR-1024,2025-05-30 00:00:00,15,HR
LIC-125,Adobe Creative Cloud,USR-1025,2025-07-29 00:00:00,10,Finance
LIC-126,Slack,USR-1026,2025-07-14 00:00:00,10,IT
LIC-127,Zoom,USR-1027,2025-06-05 00:00:00,20,IT
LIC-128,Zoom,USR-1028,2025-07-13 00:00:00,20,IT
LIC-129,Jira,USR-1029,2025-06-11 00:00:00,25,Sales
LIC-130,Jira,USR-1030,2025-07-27 00:00:00,20,IT
LIC-131,MS Office 365,USR-1031,2025-07-13 00:00:00,25,Marketing
LIC-132,Adobe Creative Cloud,USR-1032,2025-06-10 00:00:00,15,Finance
LIC-133,Jira,USR-1033,2025-05-28 00:00:00,10,Finance
LIC-134,Slack,USR-1034,2025-06-29 00:00:00,10,Marketing
LIC-135,Adobe Creative Cloud,USR-1035,2025-06-26 00:00:00,10,HR
LIC-136,Jira,USR-1036,2025-05-03 00:00:00,10,Finance
LIC-137,Adobe Creative Cloud,USR-1037,2025-07-02 00:00:00,20,IT
LIC-138,MS Office 365,USR-1038,2025-05-28 00:00:00,25,Finance
LIC-139,Zoom,USR-1039,2025-05-06 00:00:00,20,Marketing
LIC-140,Jira,USR-1040,2025-06-27 00:00:00,25,Marketing
LIC-141,Jira,USR-1041,2025-06-03 00:00:00,20,Marketing
LIC-142,Zoom,USR-1042,2025-05-19 00:00:00,15,Marketing
LIC-143,Jira,USR-1043,2025-06-11 00:00:00,25,Finance
LIC-144,Adobe Creative Cloud,USR-1044,2025-07-17 00:00:00,15,HR
LIC-145,MS Office 365,USR-1045,2025-07-18 00:00:00,15,Marketing
LIC-146,Adobe Creative Cloud,USR-1046,2025-05-27 00:00:00,10,HR
LIC-147,Zoom,USR-1047,2025-05-28 00:00:00,25,Sales
LIC-148,Slack,USR-1048,2025-05-14 00:00:00,15,HR
LIC-149,MS Office 365,USR-1049,2025-05-13 00:00:00,20,IT
