Server_ID,CPU_Usage_%,Memory_Usage_%,Disk_IO_MBps,Network_IO_MBps,Timestamp
GOO-1095,29.89,66.17,2.32,40.9,2025-07-01 00:00:00
GOO-1095,19.6,38.52,34.26,91.02,2025-07-02 00:00:00
GOO-1095,71.82,86.45,47.12,19.26,2025-07-03 00:00:00
GOO-1095,68.61,80.53,33.01,89.81,2025-07-04 00:00:00
GOO-1095,88.3,21.07,2.03,1.61,2025-07-05 00:00:00
GOO-1095,50.22,85.44,18.44,27.18,2025-07-06 00:00:00
GOO-1095,26.75,53.76,40.33,86.29,2025-07-07 00:00:00
AZU-1015,17,29,36.92,60.25,2025-07-01 00:00:00
AZU-1015,43.97,9.37,4.91,89.35,2025-07-02 00:00:00
AZU-1015,64.74,92.64,33.9,17.06,2025-07-03 00:00:00
AZU-1015,41.71,14.29,49.59,28.77,2025-07-04 00:00:00
AZU-1015,5.14,38.56,16.64,61.2,2025-07-05 00:00:00
AZU-1015,59.15,64.74,37.68,3.64,2025-07-06 00:00:00
AZU-1015,57.4,46.38,40.04,73.32,2025-07-07 00:00:00
EC2-1030,61.74,85.86,48.51,28.32,2025-07-01 00:00:00
EC2-1030,24.88,80.98,0.24,88.85,2025-07-02 00:00:00
EC2-1030,53.4,94,43.44,68.52,2025-07-03 00:00:00
EC2-1030,24.86,50.36,20.6,54.92,2025-07-04 00:00:00
EC2-1030,88.02,18.87,40.25,30.44,2025-07-05 00:00:00
EC2-1030,72.84,60.21,15.78,24.67,2025-07-06 00:00:00
EC2-1030,38.92,34.28,32.52,42.15,2025-07-07 00:00:00
S3-1158,75.38,5.17,7.29,57.79,2025-07-01 00:00:00
S3-1158,27.61,80.99,40.53,81.74,2025-07-02 00:00:00
S3-1158,74.05,67.56,1.96,24.75,2025-07-03 00:00:00
S3-1158,50.76,38.45,33.49,97,2025-07-04 00:00:00
S3-1158,86.91,48.1,0.36,33.61,2025-07-05 00:00:00
S3-1158,64.68,52.22,33.63,35.76,2025-07-06 00:00:00
S3-1158,76.84,79.31,6.45,70.61,2025-07-07 00:00:00
AZU-1128,21.19,47.95,44.36,47.82,2025-07-01 00:00:00
AZU-1128,81.74,63.52,44.96,31.9,2025-07-02 00:00:00
AZU-1128,15.75,19.52,33.06,79.96,2025-07-03 00:00:00
AZU-1128,33.02,91.83,22.78,30.3,2025-07-04 00:00:00
AZU-1128,15.18,18.4,4.34,84.62,2025-07-05 00:00:00
AZU-1128,36.34,14.85,33.25,66.29,2025-07-06 00:00:00
AZU-1128,9.01,68.95,46.23,14.52,2025-07-07 00:00:00
S3-1115,41.13,93.73,46.25,26.39,2025-07-01 00:00:00
S3-1115,11.71,86.41,12.67,90.92,2025-07-02 00:00:00
S3-1115,24.64,23.83,22.23,98.63,2025-07-03 00:00:00
S3-1115,28.3,32.36,30.76,9.84,2025-07-04 00:00:00
S3-1115,39.32,35.14,9.66,85.34,2025-07-05 00:00:00
S3-1115,18.9,55.07,41.63,29.96,2025-07-06 00:00:00
S3-1115,3.01,52.89,46.65,78.24,2025-07-07 00:00:00
GOO-1069,88.36,9.2,8.49,95.87,2025-07-01 00:00:00
GOO-1069,16.1,56.02,8.12,79.7,2025-07-02 00:00:00
GOO-1069,88.07,74.76,14.86,59.38,2025-07-03 00:00:00
GOO-1069,20.53,94.75,33.11,91.87,2025-07-04 00:00:00
GOO-1069,26.52,38.91,15,81.55,2025-07-05 00:00:00
GOO-1069,18.23,45.19,45.09,62.07,2025-07-06 00:00:00
GOO-1069,79.73,66.62,18.67,33.3,2025-07-07 00:00:00
S3-1170,40.1,87.9,47.27,51.16,2025-07-01 00:00:00
S3-1170,8.31,49.15,17.47,48.33,2025-07-02 00:00:00
S3-1170,44.04,81.11,19.15,58.28,2025-07-03 00:00:00
S3-1170,35.76,31.14,31.66,80.63,2025-07-04 00:00:00
S3-1170,45.57,90.91,11.2,0.24,2025-07-05 00:00:00
S3-1170,62.04,71.25,29.94,40.04,2025-07-06 00:00:00
S3-1170,59.68,92.43,37.92,73.94,2025-07-07 00:00:00
GOO-1174,21.53,87.81,43.92,12.24,2025-07-01 00:00:00
GOO-1174,26.7,20.86,45.51,98.75,2025-07-02 00:00:00
GOO-1174,24.74,7.38,36.18,71.62,2025-07-03 00:00:00
GOO-1174,53.22,65.67,18.04,64.28,2025-07-04 00:00:00
GOO-1174,54.19,25.5,25.93,3.53,2025-07-05 00:00:00
GOO-1174,18.04,62.17,2.91,54.07,2025-07-06 00:00:00
GOO-1174,17.84,61.46,11.55,37.4,2025-07-07 00:00:00
S3-1045,60.2,28.44,0.62,23.04,2025-07-01 00:00:00
S3-1045,3.9,46.4,33.23,74.62,2025-07-02 00:00:00
S3-1045,29.58,40.6,34.33,64.26,2025-07-03 00:00:00
S3-1045,84.23,46.39,45.82,33.77,2025-07-04 00:00:00
S3-1045,4.55,93.9,15.01,47.72,2025-07-05 00:00:00
S3-1045,14.35,78.85,41.49,65.62,2025-07-06 00:00:00
S3-1045,12.96,47.62,3.89,33.09,2025-07-07 00:00:00
RDS-1066,36.34,89.88,37.18,76.23,2025-07-01 00:00:00
RDS-1066,62.53,49.99,48.71,70.36,2025-07-02 00:00:00
RDS-1066,20.95,42.9,13.06,6.08,2025-07-03 00:00:00
RDS-1066,41.66,5.08,7.9,31.53,2025-07-04 00:00:00
RDS-1066,28.97,62.6,44.16,17.65,2025-07-05 00:00:00
RDS-1066,45.28,25.27,16.5,36.32,2025-07-06 00:00:00
RDS-1066,11.72,11.81,43.36,8.53,2025-07-07 00:00:00
RDS-1182,70.63,17.2,15.66,34.95,2025-07-01 00:00:00
RDS-1182,6.94,15.78,6.32,40.02,2025-07-02 00:00:00
RDS-1182,79.09,6.19,13.56,53.9,2025-07-03 00:00:00
RDS-1182,87.52,16.31,45.36,87.21,2025-07-04 00:00:00
RDS-1182,80.15,11.83,7.6,20.35,2025-07-05 00:00:00
RDS-1182,24.37,47.07,41.05,45.68,2025-07-06 00:00:00
RDS-1182,86.39,28.27,20.31,81.76,2025-07-07 00:00:00
RDS-1165,21.42,79.2,3.59,70.43,2025-07-01 00:00:00
RDS-1165,45.22,24.37,46.62,15.21,2025-07-02 00:00:00
RDS-1165,65.85,82.17,22.29,50.35,2025-07-03 00:00:00
RDS-1165,26.28,86.27,42.63,59.91,2025-07-04 00:00:00
RDS-1165,55.88,20.02,20.06,26.06,2025-07-05 00:00:00
RDS-1165,55.18,93.91,46.27,23.69,2025-07-06 00:00:00
RDS-1165,32.92,26.61,19.75,27.9,2025-07-07 00:00:00
AZU-1078,22.5,18.11,39.33,81.42,2025-07-01 00:00:00
AZU-1078,2.94,90.42,45.56,96.47,2025-07-02 00:00:00
AZU-1078,81.15,73.43,44.69,61.41,2025-07-03 00:00:00
AZU-1078,49.87,31.27,14.04,6.69,2025-07-04 00:00:00
AZU-1078,18,49.05,6.84,82.31,2025-07-05 00:00:00
AZU-1078,83.07,52.26,14.63,23.26,2025-07-06 00:00:00
AZU-1078,33.92,62.76,25.41,83.78,2025-07-07 00:00:00
S3-1186,88.09,19.77,41.36,47.31,2025-07-01 00:00:00
S3-1186,89.59,16.29,25.45,35.6,2025-07-02 00:00:00
S3-1186,66.11,15.42,18.51,69.7,2025-07-03 00:00:00
S3-1186,81.25,38.64,12.57,57.38,2025-07-04 00:00:00
S3-1186,71.4,70.78,12.77,22.82,2025-07-05 00:00:00
S3-1186,41.66,61.55,20.3,76.99,2025-07-06 00:00:00
S3-1186,63.12,66.22,20.03,36.42,2025-07-07 00:00:00
RDS-1177,44.88,49.95,43.02,26.92,2025-07-01 00:00:00
RDS-1177,59.37,63.29,42.54,60.51,2025-07-02 00:00:00
RDS-1177,53.55,33.81,37.58,21.06,2025-07-03 00:00:00
RDS-1177,45.91,59.95,36.3,48.36,2025-07-04 00:00:00
RDS-1177,58.89,33.69,10.6,24.45,2025-07-05 00:00:00
RDS-1177,27.41,32.9,39.2,32.66,2025-07-06 00:00:00
RDS-1177,53.39,33.75,6.23,45.57,2025-07-07 00:00:00
S3-1056,55.6,50.52,40.04,40.66,2025-07-01 00:00:00
S3-1056,57.57,65.48,45.69,53.07,2025-07-02 00:00:00
S3-1056,49.51,52.92,48.74,35.98,2025-07-03 00:00:00
S3-1056,35.34,94.59,49.23,37.33,2025-07-04 00:00:00
S3-1056,43.16,73.47,22.82,53.74,2025-07-05 00:00:00
S3-1056,37.82,51.49,42.2,24.31,2025-07-06 00:00:00
S3-1056,44.78,78.8,4.19,56.21,2025-07-07 00:00:00
RDS-1152,39.36,46.79,15.86,37.14,2025-07-01 00:00:00
RDS-1152,45.62,20.33,19.95,20.85,2025-07-02 00:00:00
RDS-1152,31.82,36.69,41.26,50.58,2025-07-03 00:00:00
RDS-1152,62.71,71.6,3.01,68.87,2025-07-04 00:00:00
RDS-1152,29.22,32.73,40.5,1.2,2025-07-05 00:00:00
RDS-1152,1.73,93.29,7.55,94.41,2025-07-06 00:00:00
RDS-1152,60.1,30.92,48.89,1.63,2025-07-07 00:00:00
EC2-1082,65.13,49.35,31.72,23.64,2025-07-01 00:00:00
EC2-1082,26.16,32.08,42.19,9.71,2025-07-02 00:00:00
EC2-1082,22.25,38.5,20.4,64.83,2025-07-03 00:00:00
EC2-1082,9.57,78.81,0.91,9.25,2025-07-04 00:00:00
EC2-1082,10.87,60.84,31.12,82.61,2025-07-05 00:00:00
EC2-1082,52.79,30.57,3.08,45.75,2025-07-06 00:00:00
EC2-1082,9.82,8.32,5.08,99.08,2025-07-07 00:00:00
EC2-1068,28.31,28.1,39.52,83.82,2025-07-01 00:00:00
EC2-1068,8.45,74.34,21.8,9.67,2025-07-02 00:00:00
EC2-1068,21.57,53.41,48.93,2.24,2025-07-03 00:00:00
EC2-1068,6.33,41.07,15.2,34.47,2025-07-04 00:00:00
EC2-1068,44.38,53.68,13.09,37.42,2025-07-05 00:00:00
EC2-1068,66,72.78,1.01,78.31,2025-07-06 00:00:00
EC2-1068,79.7,27.51,27.61,25.98,2025-07-07 00:00:00
GOO-1124,88.2,56.78,22.05,64.38,2025-07-01 00:00:00
GOO-1124,59.91,26.92,27.92,86.92,2025-07-02 00:00:00
GOO-1124,81.72,65.9,2.54,59.52,2025-07-03 00:00:00
GOO-1124,54.86,11.73,20.62,65.62,2025-07-04 00:00:00
GOO-1124,55.13,44.26,36.19,0.7,2025-07-05 00:00:00
GOO-1124,51.68,52.03,18.16,61.63,2025-07-06 00:00:00
GOO-1124,54.29,55.46,3.44,35.67,2025-07-07 00:00:00
EC2-1016,52.09,68.05,45.9,58.52,2025-07-01 00:00:00
EC2-1016,86.99,32.98,11.54,86.25,2025-07-02 00:00:00
EC2-1016,47.7,24.21,48.16,25.56,2025-07-03 00:00:00
EC2-1016,78.88,27.1,46.24,86.82,2025-07-04 00:00:00
EC2-1016,2.21,92.89,2.51,85.9,2025-07-05 00:00:00
EC2-1016,54.1,43.89,48.45,4.07,2025-07-06 00:00:00
EC2-1016,21.54,6.68,19.92,62.03,2025-07-07 00:00:00
AZU-1148,87.39,67.53,34.24,6.82,2025-07-01 00:00:00
AZU-1148,67.72,67.78,2.34,48.45,2025-07-02 00:00:00
AZU-1148,17.15,46.67,8.2,79.35,2025-07-03 00:00:00
AZU-1148,34.97,42.88,33.99,80.59,2025-07-04 00:00:00
AZU-1148,32.55,24.5,12.27,34.36,2025-07-05 00:00:00
AZU-1148,4.5,17.55,6.92,98.48,2025-07-06 00:00:00
AZU-1148,55.92,15.2,21.07,67.77,2025-07-07 00:00:00
S3-1093,29.65,54.53,3.48,28.63,2025-07-01 00:00:00
S3-1093,19.31,41.91,1.98,42.89,2025-07-02 00:00:00
S3-1093,54.26,91.08,19.95,49.77,2025-07-03 00:00:00
S3-1093,51.87,13.22,3.49,77.01,2025-07-04 00:00:00
S3-1093,72.48,11.27,20.68,46.93,2025-07-05 00:00:00
S3-1093,33.46,13.76,43.72,52.07,2025-07-06 00:00:00
S3-1093,1.93,68.12,32.21,2.83,2025-07-07 00:00:00
EC2-1065,22.61,37.46,42.25,74.94,2025-07-01 00:00:00
EC2-1065,7.05,45.24,6.92,42,2025-07-02 00:00:00
EC2-1065,36.08,76.65,28.53,55.09,2025-07-03 00:00:00
EC2-1065,75.71,84.8,22.35,58.8,2025-07-04 00:00:00
EC2-1065,57.1,60.47,18.52,90.89,2025-07-05 00:00:00
EC2-1065,59.56,71.46,29.96,37.77,2025-07-06 00:00:00
EC2-1065,89.11,88.99,32.65,55.47,2025-07-07 00:00:00
AZU-1060,87.14,48.78,38.73,89.35,2025-07-01 00:00:00
AZU-1060,79.9,58.91,38.61,13.84,2025-07-02 00:00:00
AZU-1060,66.43,25.92,23.18,45.25,2025-07-03 00:00:00
AZU-1060,32.13,29.1,20.46,68.06,2025-07-04 00:00:00
AZU-1060,22.42,67.64,42.13,58.51,2025-07-05 00:00:00
AZU-1060,2.02,72.64,7.8,99.02,2025-07-06 00:00:00
AZU-1060,55.48,17.11,34.76,64.36,2025-07-07 00:00:00
RDS-1084,37.4,71.14,36.06,61.46,2025-07-01 00:00:00
RDS-1084,1.73,85.79,24.71,5.92,2025-07-02 00:00:00
RDS-1084,1.06,35.55,9.27,2.49,2025-07-03 00:00:00
RDS-1084,59.78,36.54,13.09,68.76,2025-07-04 00:00:00
RDS-1084,39.42,73.37,29.78,85.23,2025-07-05 00:00:00
RDS-1084,58.95,35.38,49.85,74.86,2025-07-06 00:00:00
RDS-1084,75.01,18.7,49.42,16.15,2025-07-07 00:00:00
AZU-1067,68.97,7.29,20.73,38.81,2025-07-01 00:00:00
AZU-1067,80.66,69.38,33.24,46.25,2025-07-02 00:00:00
AZU-1067,28.95,87.3,29.58,61.2,2025-07-03 00:00:00
AZU-1067,83.36,7.54,22.89,69.87,2025-07-04 00:00:00
AZU-1067,52.98,57.76,39.91,19.95,2025-07-05 00:00:00
AZU-1067,75.67,29.32,34.49,98.45,2025-07-06 00:00:00
AZU-1067,33.37,70.39,39.7,85.97,2025-07-07 00:00:00
S3-1125,49.53,57.51,28.93,70.89,2025-07-01 00:00:00
S3-1125,40.69,12.93,48.39,0.34,2025-07-02 00:00:00
S3-1125,62.21,41.58,20.76,7.92,2025-07-03 00:00:00
S3-1125,20.62,44.78,13.74,67.89,2025-07-04 00:00:00
S3-1125,66.77,31.02,8.13,47.17,2025-07-05 00:00:00
S3-1125,51.64,5.54,7.45,18.04,2025-07-06 00:00:00
S3-1125,62.74,38.32,28.31,59.89,2025-07-07 00:00:00
GOO-1132,38.53,7.32,17.2,61.44,2025-07-01 00:00:00
GOO-1132,66.3,20.5,20.5,21.49,2025-07-02 00:00:00
GOO-1132,10.71,29.91,43.62,82.96,2025-07-03 00:00:00
GOO-1132,85.15,69,47.94,58.42,2025-07-04 00:00:00
GOO-1132,27.07,80.82,38.41,55.99,2025-07-05 00:00:00
GOO-1132,62.8,53.39,25.63,74.09,2025-07-06 00:00:00
GOO-1132,49.82,33.77,23.17,25.41,2025-07-07 00:00:00
RDS-1009,58.22,72.86,45.91,4.66,2025-07-01 00:00:00
RDS-1009,70.24,55.14,34.58,56.12,2025-07-02 00:00:00
RDS-1009,34.15,86.36,11.93,87.52,2025-07-03 00:00:00
RDS-1009,44.3,72.69,20.47,27.21,2025-07-04 00:00:00
RDS-1009,69.08,83.32,34.28,16.93,2025-07-05 00:00:00
RDS-1009,49.39,73.41,47.26,35.2,2025-07-06 00:00:00
RDS-1009,23.56,13.88,7.76,67.83,2025-07-07 00:00:00
EC2-1018,18.49,66.93,48.4,66.01,2025-07-01 00:00:00
EC2-1018,29,36.9,27.95,54.79,2025-07-02 00:00:00
