Resource_ID,Resource_Type,Region,Start_Time,Usage_Hours,Cost_USD,Department
AZU-1000,Azure SQL,ap-south-1,2025-05-24 00:00:00,302,44.39,IT
AZU-1001,Azure SQL,eu-west-1,2025-06-03 00:00:00,547,204.99,Marketing
S3-1002,S3,eu-west-1,2025-06-02 00:00:00,663,178.82,Marketing
EC2-1003,EC2,us-east-1,2025-06-09 00:00:00,595,165.08,HR
S3-1004,S3,eu-west-1,2025-05-12 00:00:00,473,28.97,Finance
RDS-1005,RDS,eu-west-1,2025-06-04 00:00:00,301,43.54,Finance
S3-1006,S3,us-east-1,2025-06-26 00:00:00,515,235.91,Finance
GOO-1007,Google Compute Engine,eu-west-1,2025-05-08 00:00:00,585,43.47,Sales
RDS-1008,RDS,ap-south-1,2025-06-02 00:00:00,668,300.53,IT
RDS-1009,RDS,eu-west-1,2025-05-05 00:00:00,716,41.21,Finance
GOO-1010,Google Compute Engine,us-east-1,2025-05-25 00:00:00,637,311.12,Finance
RDS-1011,RDS,ap-south-1,2025-05-21 00:00:00,184,46.06,Finance
AZU-1012,Azure SQL,us-east-1,2025-06-16 00:00:00,238,105.94,IT
AZU-1013,Azure VM,us-east-1,2025-06-14 00:00:00,161,79.21,Sales
AZU-1014,Azure VM,us-east-1,2025-06-10 00:00:00,592,82.83,Finance
AZU-1015,Azure VM,ap-south-1,2025-06-27 00:00:00,534,238.35,Finance
EC2-1016,EC2,eu-west-1,2025-05-07 00:00:00,526,162.43,IT
GOO-1017,Google Compute Engine,eu-west-1,2025-05-27 00:00:00,449,72.4,Sales
EC2-1018,EC2,ap-south-1,2025-06-23 00:00:00,362,82.28,HR
AZU-1019,Azure VM,us-east-1,2025-05-13 00:00:00,76,24.76,IT
AZU-1020,Azure SQL,ap-south-1,2025-05-14 00:00:00,467,121.5,Sales
AZU-1021,Azure VM,us-east-1,2025-05-31 00:00:00,678,151.26,HR
RDS-1022,RDS,us-east-1,2025-05-22 00:00:00,329,24.12,Marketing
AZU-1023,Azure VM,eu-west-1,2025-05-24 00:00:00,115,34.93,Sales
AZU-1024,Azure SQL,ap-south-1,2025-05-11 00:00:00,633,315.19,Sales
GOO-1025,Google Compute Engine,us-east-1,2025-06-08 00:00:00,39,11.42,Marketing
RDS-1026,RDS,eu-west-1,2025-06-11 00:00:00,458,44.89,Marketing
GOO-1027,Google Compute Engine,eu-west-1,2025-06-23 00:00:00,213,12.59,Finance
S3-1028,S3,eu-west-1,2025-06-29 00:00:00,260,116.64,HR
RDS-1029,RDS,us-east-1,2025-05-11 00:00:00,151,51.21,IT
EC2-1030,EC2,eu-west-1,2025-05-14 00:00:00,500,168.95,HR
S3-1031,S3,eu-west-1,2025-05-03 00:00:00,50,6.83,Finance
GOO-1032,Google Compute Engine,ap-south-1,2025-05-22 00:00:00,683,53.08,Sales
S3-1033,S3,us-east-1,2025-05-21 00:00:00,575,198.25,Sales
RDS-1034,RDS,ap-south-1,2025-05-03 00:00:00,462,67.82,Finance
AZU-1035,Azure SQL,eu-west-1,2025-05-30 00:00:00,429,147.49,Marketing
RDS-1036,RDS,us-east-1,2025-06-17 00:00:00,710,97.82,IT
S3-1037,S3,ap-south-1,2025-06-09 00:00:00,110,49.6,IT
RDS-1038,RDS,us-east-1,2025-06-07 00:00:00,291,103.58,HR
